Date,Price,Open,High,Low,Vol.,Change %
03/21/2024,179.417,191.772,195.408,175.909,10330000,-6.50%
03/20/2024,191.897,169.890,193.103,162.719,16469999,12.95%
03/19/2024,169.894,195.847,198.548,166.249,21790000,-13.26%
03/18/2024,195.866,201.814,209.917,194.427,14860000,-2.95%
03/17/2024,201.830,182.071,204.396,178.884,13620000,10.85%
03/16/2024,182.079,183.854,197.783,177.242,17080000,-0.68%
03/15/2024,183.334,176.523,188.803,165.177,23170000,3.86%
03/14/2024,176.523,163.914,177.989,159.632,14170000,7.70%
03/13/2024,163.907,151.053,166.580,148.824,10570000,8.51%
03/12/2024,151.054,148.803,154.890,141.877,12210000,1.52%
03/11/2024,148.791,144.413,150.070,136.848,10640000,3.04%
03/10/2024,144.407,144.279,148.515,140.599,6320000,0.12%
03/09/2024,144.238,144.765,149.122,143.799,5650000,-0.35%
03/08/2024,144.748,143.863,152.672,142.149,10230000,0.60%
03/07/2024,143.888,130.733,149.033,130.676,13990000,10.06%
03/06/2024,130.734,125.365,134.886,120.184,11350000,4.38%
03/05/2024,125.249,132.896,142.507,111.792,20500000,-5.75%
03/04/2024,132.896,130.213,134.933,127.540,9690000,2.05%
03/03/2024,130.220,130.078,132.076,124.848,6200000,0.11%
03/02/2024,130.078,129.914,131.620,127.399,5710000,0.13%
03/01/2024,129.914,125.621,137.554,125.602,10160000,3.44%
02/29/2024,125.588,118.878,134.492,117.433,16950000,5.65%
02/28/2024,118.877,108.400,118.877,107.284,14270000,9.67%
02/27/2024,108.398,109.856,112.200,105.667,7720000,-1.32%
02/26/2024,109.851,103.469,110.693,100.352,6790000,6.16%
02/25/2024,103.475,104.012,104.405,102.081,2450000,-0.52%
02/24/2024,104.012,99.828,104.691,98.507,2960000,4.19%
02/23/2024,99.827,101.751,103.084,98.786,4410000,-1.91%
02/22/2024,101.774,105.064,107.045,101.524,4960000,-3.13%
02/21/2024,105.059,108.325,108.341,100.267,6180000,-2.99%
02/20/2024,108.292,111.465,112.092,104.863,7170000,-2.85%
02/19/2024,111.465,112.214,114.772,111.011,4680000,-0.66%
02/18/2024,112.206,108.912,114.033,107.535,3720000,3.02%
02/17/2024,108.913,110.341,111.057,105.826,3480000,-1.29%
02/16/2024,110.341,113.543,114.253,108.211,4920000,-2.83%
02/15/2024,113.555,116.967,118.340,111.556,6180000,-2.91%
02/14/2024,116.959,112.502,118.649,110.714,6180000,3.96%
02/13/2024,112.502,111.803,114.860,108.414,7120000,0.62%
02/12/2024,111.803,107.445,112.211,103.525,7550000,4.06%
02/11/2024,107.439,109.031,110.625,107.289,3520000,-1.46%
02/10/2024,109.032,106.935,110.858,106.914,5030000,1.99%
02/09/2024,106.909,102.771,108.815,102.763,8230000,4.04%
02/08/2024,102.760,101.059,104.912,100.562,7170000,1.68%
02/07/2024,101.058,96.848,101.409,94.755,5760000,4.34%
02/06/2024,96.850,95.626,97.858,93.314,5530000,1.28%
02/05/2024,95.624,95.442,98.633,94.193,4800000,0.20%
02/04/2024,95.435,97.940,98.528,95.106,3540000,-2.56%
02/03/2024,97.940,100.546,101.165,96.709,3640000,-2.59%
02/02/2024,100.542,97.803,102.495,97.452,6940000,2.80%
02/01/2024,97.803,97.040,98.015,93.143,8650000,0.78%
01/31/2024,97.043,101.373,102.581,96.090,10670000,-4.28%
01/30/2024,101.377,101.617,106.318,101.033,8760000,-0.23%
01/29/2024,101.613,95.982,101.880,95.103,7240000,5.87%
01/28/2024,95.982,94.266,99.420,93.422,6860000,1.89%
01/27/2024,94.201,92.272,94.481,90.720,3540000,2.16%
